"number";"dep_name";"num_cat";"data_name";"address";"long";"lat"
"103";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"Белореченский район, станица Рязанская, ул.Горького,8 ";39,596624;44,955917
"105";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г. Белореченск, ул. Деповская, 60 ";39,9006045;44,756494
"102";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.Ленина, 121 ";39,870044;44,76091
"106";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.Ленина,149 ";39,866271;44,7675015
"108";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.40 лет Октября, 75 ";39,8654355;44,7663245
"104";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.Интернациональная,36 ";39,869092;44,761096
"99";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.Интернациональная,24 ";39,873763;44,756084
"98";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.40 лет Октября,54 ";39,8656695;44,7660365
"96";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.В.Н.Шалимова,20 ";39,8648425;44,7668105
"110";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.В.Н.Шалимова, 30 ";39,8629655;44,7692485
"109";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск,ул.Мира, 73 ";39,873215;44,7626
"97";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.Аэродромная,14 ";39,8948825;44,7502785
"100";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"Белореченский район, пос.Заречный, ул.Клубная,22 ";39,837817;44,7512545
"95";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.Аэродромная,4";39,8975775;44,7525575
"101";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г.Белореченск, ул.Ленина,161";39,863756;44,769972
"107";"Министерство топливно-энергетического комплекса и жилищно-коммунального хозяйства Краснодарского края ";"18";"Сведения о местах нахождения многоквартирных жилых домов, в которых осуществлен капитальный ремонт";"г. Белореченск, ул. Аэродромная, 41 ";39,8971105;44,752359
